Iterations: 50
Function Evaluations Limit: 150000
Population: 50

Prides Length: 4

Percent Nomads: 0.2
Percent Roaming: 0.2
Percent Sex: 0.8

Mating Rate: 0.3
Mutation Probability: 0.2
Immigration Rate: 0.4

Dimensions: 1
N-Dimension Space: -5:5

Fitness Iterations:
0.341396
6.15192, 11.3113, 4.37576, 22.0943, 18.8494, 1.12595, 13.3888, 18.2615, 8.96764, 14.2631, 4.65662, 2.42641, 16.213, 0.341396, 10.4092, 4.2885, 6.42872, 9.3094, 12.6101, 7.07272, 5.75226, 6.94909, 11.3287, 21.1235, 14.8475, 18.2336, 24.7764, 10.5307, 4.08581, 16.861, 5.42709, 11.0505, 5.63881, 12.3079, 14.9951, 29.4666, 19.3942, 9.79788, 7.50007, 17.6695, 10.5074, 17.58, 6.42058, 11.1376, 13.0201, 10.3134, 17.1304, 8.24097, 18.735, 19.4204, 

6.15192, 2.73104, 15.9259, 1.12595, 18.2615, 9.82052, 7.76534, 8.54746, 4.00926, 10.2884, 4.65662, 1.08097, 0.341396, 4.2885, 9.3094, 12.6101, 22.1616, 4.37576, 6.42872, 4.03444, 5.75226, 4.41411, 21.1235, 14.8475, 9.99261, 22.6396, 9.97372, 1.95601, 4.08581, 1.22892, 1.31355, 6.42058, 12.3079, 9.34301, 4.8206, 0.6336, 26.2766, 3.47311, 7.50007, 1.15432, 11.0505, 5.42709, 10.5074, 8.05989, 10.3134, 8.24097, 10.917, 6.94909, 10.4092, 10.5307, 

2.73104, 1.83161, 1.12595, 7.76534, 8.54746, 4.00926, 11.7672, 9.34301, 12.3079, 4.79116, 1.08097, 3.98629, 0.341396, 2.35819, 12.6101, 4.37576, 4.13071, 1.22892, 10.4092, 10.2884, 3.01013, 0.0411077, 18.2247, 5.82284, 1.95601, 4.08581, 5.51557, 0.6336, 9.82052, 4.8206, 1.31355, 0.0450028, 26.2766, 0.33514, 7.50007, 1.15432, 16.8235, 9.99261, 4.03444, 4.2885, 5.42709, 8.05989, 8.24097, 6.94909, 4.23042, 4.65662, 4.41411, 6.42058, 12.4056, 13.9359, 

2.73104, 1.83161, 4.00926, 9.34301, 9.33087, 20.2331, 20.2139, 4.79116, 4.29895, 4.08581, 1.08097, 1.31355, 4.37576, 4.13071, 1.22892, 19.9343, 1.93376, 2.97275, 0.341396, 1.12595, 0.0411077, 2.32439, 18.2247, 0.0467232, 1.95601, 0.257532, 9.82052, 2.22611, 0.6336, 0.999719, 0.0450028, 0.309565, 26.2007, 0.33514, 16.8235, 4.24976, 1.00505, 2.35819, 1.15432, 3.0096, 4.23042, 4.65662, 4.41411, 5.42545, 3.98629, 3.01013, 2.12316, 2.06561, 4.8206, 5.39477, 

0.488963, 1.83161, 4.74868, 20.2331, 4.79116, 20.7446, 10.5861, 2.70837, 2.81275, 4.00926, 1.08097, 1.31355, 4.37576, 4.13071, 1.22892, 1.93376, 0.341396, 1.12595, 0.6336, 0.33514, 0.0411077, 2.06561, 0.0467232, 0.257532, 9.82052, 17.0621, 21.2125, 0.703656, 1.95601, 0.999719, 0.0450028, 0.309565, 4.24976, 1.00505, 2.35819, 1.15432, 3.0096, 2.22611, 2.97275, 3.98087, 4.23042, 2.73104, 3.98629, 3.01013, 2.12316, 2.32439, 1.11986, 1.02871, 4.08581, 4.29895, 

0.488963, 1.83161, 4.74868, 20.2331, 4.79116, 2.70837, 2.81275, 1.15432, 4.08581, 0.341396, 1.08097, 1.11986, 4.13071, 1.22892, 1.12595, 0.6336, 0.33514, 1.00505, 0.0467232, 4.00926, 0.0411077, 2.0236, 0.257532, 9.82052, 15.9286, 1.95601, 20.9649, 0.999719, 3.98087, 1.26817, 0.0450028, 0.309565, 4.24976, 2.35819, 3.0096, 2.22611, 0.999388, 0.0170045, 1.93376, 0.0916961, 2.73104, 3.01013, 2.12316, 2.32439, 1.1574, 1.02871, 2.06561, 2.10941, 4.37576, 4.92877, 

