Iterations: 50
Function Evaluations Limit: 150000
Population: 50

Prides Length: 4

Percent Nomads: 0.2
Percent Roaming: 0.2
Percent Sex: 0.8

Mating Rate: 0.3
Mutation Probability: 0.2
Immigration Rate: 0.4

Dimensions: 1
N-Dimension Space: -100:100

Fitness Iterations:
0.149964
0.633596, 0.269695, 0.228076, 0.566548, 0.54427, 1.08813, 1.26183, 0.513167, 1.04613, 0.701918, 0.616495, 0.24978, 2.41067, 1.16721, 1.68429, 0.244964, 0.246679, 0.2348, 0.0102876, 0.0552641, 0.490605, 0.640514, 1.05235, 0.0272341, 2.63768, 0.20396, 1.95108, 1.15205, 0.0971323, 0.205845, 0.831982, 1.26305, 0.900242, 1.79556, 3.0801, 2.09091, 2.29869, 0.240603, 0.160975, 0.149964, 0.842084, 0.995947, 1.1608, 0.659931, 0.961587, 0.855731, 0.907015, 1.07121, 1.25686, 1.33133, 

0.117814, 0.135887, 0.228076, 0.26892, 0.653243, 1.04613, 0.701918, 0.566548, 0.160975, 0.513167, 0.24978, 0.460606, 1.68429, 0.244964, 0.246679, 0.0102876, 0.506591, 0.30011, 0.0552641, 0.635329, 0.286067, 0.355432, 0.803025, 0.0272341, 2.63191, 1.15205, 0.205845, 0.2348, 0.54427, 0.0971323, 0.506086, 0.49568, 0.158397, 1.79556, 3.0801, 0.358034, 0.240603, 0.20396, 0.307877, 0.149964, 0.842084, 0.280742, 0.659931, 0.855731, 0.633596, 0.616495, 0.490605, 0.661546, 0.789225, 0.95936, 

0.117814, 0.135887, 0.653243, 1.04613, 0.566548, 0.160975, 0.102212, 0.513167, 0.0971323, 0.307877, 0.24978, 0.269167, 0.506591, 0.30011, 0.0552641, 0.635329, 2.0873, 0.0728843, 0.246679, 0.26892, 0.0284877, 0.21, 0.0272341, 0.0168876, 0.205845, 0.2348, 1.43834, 0.244964, 0.240603, 0.204995, 0.280742, 0.424364, 0.158397, 1.79556, 2.63768, 0.358034, 0.20396, 0.149964, 0.0102876, 0.261155, 0.506086, 0.322999, 0.633596, 0.616495, 0.49568, 0.355432, 0.490605, 0.608825, 0.54427, 0.789225, 

0.117814, 0.135887, 0.566548, 0.160975, 0.102212, 0.513167, 2.14494, 0.0728843, 0.0168876, 0.26892, 0.197497, 0.255447, 0.506591, 0.0510994, 0.361159, 1.06823, 0.659108, 0.261155, 0.0971323, 0.246679, 0.0284877, 0.21, 0.0272341, 0.205845, 0.240603, 0.204995, 2.35558, 0.0689023, 0.149964, 0.30011, 0.269167, 0.322999, 0.158397, 1.20691, 1.28608, 0.358034, 0.0102876, 0.20396, 0.2348, 0.244964, 0.506086, 0.424364, 0.49568, 0.355432, 0.490605, 0.388214, 0.280742, 0.246787, 0.307877, 0.621302, 

0.117814, 0.135887, 0.513167, 0.701207, 0.0168876, 0.26892, 1.89312, 0.2348, 0.0102876, 0.160975, 0.197497, 0.255447, 0.0510994, 1.06823, 0.261155, 0.0971323, 1.40583, 0.246679, 0.158397, 0.102212, 0.0284877, 0.21, 0.205845, 0.240603, 2.35558, 0.149964, 0.871335, 0.0689023, 0.30011, 0.0272341, 0.246787, 0.0625211, 1.20691, 0.358034, 0.244964, 1.73705, 0.890056, 0.204995, 0.0728843, 0.20396, 0.424364, 0.355432, 0.490605, 0.388214, 0.280742, 0.269167, 0.474525, 0.322999, 0.307877, 0.361159, 

0.117814, 0.135887, 0.701207, 1.89312, 0.2348, 0.0102876, 1.21568, 0.160975, 0.0272341, 0.204995, 0.158073, 0.21784, 0.0510994, 1.06823, 0.246679, 0.102212, 2.54381, 0.0219857, 0.149964, 0.158397, 0.0284877, 0.124587, 0.205845, 1.74788, 0.0689023, 0.205064, 1.9917, 0.246663, 0.20396, 0.26892, 0.246787, 0.0625211, 0.358034, 0.158554, 0.890056, 0.0728843, 2.11862, 0.240603, 0.0168876, 0.261155, 0.424364, 0.355432, 0.388214, 0.280742, 0.269167, 0.474525, 0.322999, 0.255447, 0.307877, 0.361159, 

0.117814, 0.135887, 0.701207, 0.2348, 1.21568, 0.0272341, 0.204995, 0.160975, 0.0219857, 0.158554, 0.158073, 0.21784, 0.0510994, 0.153533, 0.246679, 0.149964, 0.158397, 0.261155, 0.147045, 0.0102876, 0.0284877, 0.124587, 0.205064, 0.246663, 0.20396, 0.26892, 1.21961, 0.205845, 0.307481, 0.102212, 0.0625211, 0.106581, 0.358034, 0.890056, 0.0728843, 0.570708, 1.5388, 0.0168876, 0.0689023, 0.240603, 0.355432, 0.18126, 0.280742, 0.269167, 0.322999, 0.255447, 0.17204, 0.246787, 0.361159, 0.428841, 

0.117814, 0.103738, 0.701207, 0.0272341, 0.204995, 0.0219857, 1.95346, 0.0728843, 0.0102876, 0.205845, 0.158073, 0.0733291, 0.0510994, 0.246679, 0.158397, 0.261155, 1.27557, 0.158554, 0.20396, 0.0731108, 0.0284877, 0.115777, 0.26892, 1.21961, 0.307481, 0.134328, 0.268997, 0.205064, 0.153533, 0.147045, 0.0625211, 0.106581, 0.358034, 0.0168876, 0.0689023, 0.240603, 2.03003, 0.102212, 0.149964, 0.160975, 0.18126, 0.280742, 0.269167, 0.255447, 0.17204, 0.246787, 0.14688, 0.175944, 0.2348, 0.246663, 

0.0822612, 0.0156342, 0.701207, 0.0272341, 0.0728843, 0.0102876, 1.61892, 0.246663, 0.205845, 0.0689023, 0.14688, 0.0733291, 0.0510994, 0.158554, 0.20396, 0.0731108, 1.30193, 0.147045, 0.153533, 0.246679, 0.0284877, 0.115777, 0.518815, 0.307481, 0.134328, 0.205064, 0.530354, 0.160975, 0.2348, 0.158397, 0.0625211, 0.106581, 0.0168876, 0.0430647, 2.03003, 0.102212, 0.149964, 0.0755874, 0.0219857, 0.204995, 0.117814, 0.280742, 0.269167, 0.255447, 0.17204, 0.246787, 0.158073, 0.175944, 0.261155, 0.26892, 

