Iterations: 50
Function Evaluations Limit: 150000
Population: 50

Prides Length: 4

Percent Nomads: 0.2
Percent Roaming: 0.2
Percent Sex: 0.8

Mating Rate: 0.3
Mutation Probability: 0.2
Immigration Rate: 0.4

Dimensions: 1
N-Dimension Space: -100:100

Fitness Iterations:
0.281239
1.42959, 2.24468, 3.52994, 0.481546, 2.28226, 0.448708, 2.71475, 0.281239, 1.69078, 0.439899, 1.97053, 2.555, 3.55017, 1.99724, 2.53445, 0.313442, 3.70638, 2.30203, 1.16487, 2.14156, 2.88725, 2.88868, 3.03419, 2.59358, 1.03649, 1.84001, 2.13716, 2.26138, 2.68065, 2.08858, 2.15552, 0.745584, 1.74426, 1.74642, 1.92872, 2.02258, 3.12001, 0.813292, 2.04231, 1.51547, 0.727769, 1.26349, 0.376286, 1.87053, 1.64797, 1.13502, 2.45663, 2.83199, 1.1848, 1.25888, 

0.727769, 0.640479, 2.28226, 0.281239, 1.69078, 0.0888287, 2.19664, 0.481546, 1.10581, 0.371972, 0.89711, 1.2285, 0.996496, 0.313442, 0.464987, 2.30203, 1.1098, 0.607955, 0.893695, 0.000800964, 1.13502, 1.78279, 1.55336, 1.03649, 2.26138, 1.23875, 0.986758, 0.231132, 0.63832, 0.448708, 0.231731, 0.126095, 1.69502, 1.92872, 2.02258, 0.347377, 0.0912109, 0.022782, 0.15855, 0.274701, 1.42959, 1.71448, 0.376286, 1.26349, 1.64797, 1.42632, 1.23423, 0.243946, 1.1848, 1.61486, 

0.139266, 0.0482783, 2.28226, 1.69078, 0.0888287, 2.19664, 0.261214, 0.022782, 0.740849, 0.0912109, 0.243946, 0.364081, 0.691914, 0.313442, 2.30203, 0.893695, 1.41036, 0.371972, 0.607955, 0.281239, 0.376286, 0.155715, 2.26138, 0.63832, 0.448708, 2.11895, 0.215383, 0.000800964, 0.347377, 0.986758, 0.231731, 0.0108881, 1.69502, 1.92872, 2.02258, 0.15855, 0.274701, 0.464987, 0.114938, 0.231132, 0.591313, 0.918097, 0.89711, 1.02416, 0.377151, 1.2285, 1.211, 1.13502, 1.03649, 1.10581, 

0.00284632, 0.0482783, 1.69078, 0.740849, 0.0912109, 0.171702, 0.0172348, 0.261214, 0.274701, 0.63832, 0.243946, 0.0619373, 0.691914, 0.313442, 0.893695, 0.859923, 0.155785, 0.0483774, 0.215383, 0.281239, 0.322464, 0.0887864, 0.448708, 2.11895, 0.000800964, 0.347377, 2.15501, 0.197141, 0.022782, 0.124481, 0.231731, 0.0108881, 0.423231, 0.114938, 0.231132, 1.92641, 1.16824, 0.464987, 0.607955, 0.0888287, 0.591313, 0.918097, 0.89711, 0.139266, 0.376286, 0.7371, 1.11332, 1.10783, 0.67802, 0.838733, 

0.00284632, 0.0482783, 0.740849, 0.171702, 0.0534827, 1.74796, 0.565485, 0.022782, 0.197141, 0.274701, 0.243946, 0.0619373, 0.859923, 0.0483774, 0.215383, 0.281239, 1.95439, 0.0172348, 0.347377, 0.261214, 0.245942, 0.0887864, 0.448708, 1.50359, 0.000800964, 2.15501, 0.124481, 0.0888287, 0.0511594, 0.313442, 0.029495, 0.0108881, 0.111426, 0.231132, 1.16824, 0.382311, 2.00548, 0.0912109, 0.436802, 0.423231, 0.591313, 0.139266, 0.0374275, 0.7371, 0.47111, 0.322464, 0.374523, 0.7893, 0.607955, 0.67802, 

