Iterations: 200
Function Evaluations Limit: 150000
Population: 100

Prides Length: 4

Percent Nomads: 0.2
Percent Roaming: 0.8
Percent Sex: 0.2

Mating Rate: 0.6
Mutation Probability: 0.8
Immigration Rate: 0.2

Percent Group Influence: 0.8
Annealing On: true
Ranked Selection Pressure: 2
Near To Best Random Pressure: 2

Dimensions: 2
N-Dimension Space: -10:10

Fitness Iterations:
14.3201 (Initial Best)

108.417, 93.842, 74.4542, 124.384, 63.2288, 126.845, 49.0427, 31.1526, 119.398, 108.372, 97.0395, 38.0233, 14.918, 62.3834, 139.877, 90.8258, 102.888, 34.8073, 52.909, 81.2726, 52.714, 49.3226, 87.7121, 79.0834, 96.3119, 37.988, 75.3105, 172.151, 49.1382, 37.5665, 121.029, 80.5508, 104.06, 152.809, 90.83, 142.233, 176.189, 109.475, 68.7008, 28.3892, 80.2812, 60.4679, 79.8406, 122.837, 122.031, 14.3201, 32.5988, 46.2769, 157.822, 133.859, 113.971, 97.4396, 86.3546, 56.6793, 121.926, 33.1326, 104.111, 138.533, 123.81, 88.8581, 70.0893, 59.9119, 116.642, 160.623, 80.8451, 66.3933, 48.5168, 24.6233, 37.4745, 116.208, 39.9932, 68.8851, 58.8307, 146.792, 58.913, 75.8108, 126.455, 108.407, 85.0357, 101.381, 77.6016, 89.1985, 142.318, 30.7866, 31.2065, 72.4339, 87.8513, 108.768, 73.8053, 106.708, 61.9419, 134.359, 112.959, 135.375, 90.4777, 78.7809, 116.225, 56.1357, 26.1489, 25.6118, 

3.22489, 4.82664, 6.50573, 6.93933, 7.95913, 8.58949, 10.648, 13.2924, 15.4671, 15.6603, 15.7019, 16.9216, 17.0318, 17.945, 18.1928, 1.87646, 21.0292, 52.909, 36.5801, 13.1264, 3.41043, 4.37901, 6.08887, 6.86763, 8.42543, 10.1363, 10.1663, 12.846, 12.8877, 13.9354, 13.9592, 14.5811, 15.0094, 15.9469, 16.8769, 9.34092, 18.362, 28.3892, 26.8427, 28.3478, 2.47709, 3.95457, 4.95337, 6.05294, 6.52513, 6.98531, 7.14114, 7.24517, 9.16442, 9.35367, 10.9543, 11.6313, 14.2983, 15.3087, 19.0929, 11.1829, 32.0669, 66.1012, 33.5583, 22.2249, 2.16291, 4.22296, 4.80885, 5.40658, 5.69501, 6.46211, 7.5384, 8.44084, 8.548, 11.7904, 12.659, 15.9944, 17.9822, 20.6399, 23.0103, 27.0601, 54.8928, 64.4103, 119.341, 18.3822, 15.2395, 15.7394, 16.0543, 3.76671, 9.64399, 10.26, 15.0081, 17.6309, 18.5479, 21.1669, 25.6118, 26.1489, 28.0118, 31.2065, 32.4891, 33.5186, 35.5742, 36.2298, 38.6697, 40.4815, 

0.00545905, 0.0530056, 0.0546847, 0.140859, 0.150433, 0.183293, 0.197686, 0.241777, 0.381099, 0.640788, 0.702377, 0.9741, 1.12085, 1.19356, 2.12118, 3.76671, 21.0292, 52.909, 2.2871, 12.5878, 2.08733, 2.13358, 2.19505, 2.24698, 2.25826, 2.28472, 3.05977, 3.26382, 3.39439, 3.41043, 4.37901, 5.4289, 5.91678, 6.92797, 7.74965, 11.1829, 19.4626, 28.3478, 1.35356, 28.6167, 1.00221, 2.20721, 2.29931, 2.42333, 2.46257, 2.47709, 2.82087, 3.3924, 3.44531, 3.81759, 3.82318, 4.02513, 4.9417, 7.84973, 10.2357, 1.20202, 15.4855, 35.0766, 7.56038, 28.742, 0.357592, 0.468665, 0.48347, 0.511379, 0.569165, 0.742484, 1.1916, 2.01499, 2.04274, 2.16291, 2.72923, 4.53612, 6.55172, 8.44084, 9.56663, 12.6334, 6.24179, 7.69874, 18.3822, 48.8697, 4.82664, 6.54315, 11.215, 15.2332, 2.82411, 3.92773, 6.77779, 9.64399, 10.26, 10.5123, 13.4438, 17.6309, 17.9721, 18.5479, 20.0339, 21.1669, 25.6118, 25.6401, 26.1489, 26.1552, 

5.42434e-05, 9.16395e-05, 0.000199937, 0.000542834, 0.000545919, 0.000761756, 0.000808234, 0.0012319, 0.00223349, 0.00244348, 0.00439893, 0.00529303, 0.00545905, 0.00654468, 0.0165782, 0.0173183, 0.0408364, 12.5878, 26.609, 23.9826, 1.08104, 1.11344, 1.16819, 1.31136, 1.35103, 1.35511, 1.99921, 2.08733, 2.10833, 2.13328, 2.23856, 2.62028, 2.65981, 3.05821, 3.26382, 3.39439, 1.35356, 12.4216, 38.1573, 18.4464, 0.0166634, 0.0606421, 1.00221, 1.07024, 1.20202, 1.20209, 1.30339, 1.3036, 1.40321, 1.6143, 1.74787, 2.20721, 2.29931, 2.50261, 2.82087, 3.32125, 7.56038, 19.2079, 32.285, 21.7223, 0.00380218, 0.0483091, 0.0569116, 0.0635683, 0.143709, 0.147397, 0.170671, 0.203305, 0.220658, 0.227121, 0.357592, 0.48347, 0.511379, 0.642119, 0.742484, 0.856602, 7.69874, 18.3822, 27.2694, 21.4849, 4.82664, 5.23649, 6.21169, 5.62081, 2.82411, 3.92773, 6.24179, 6.77779, 9.38495, 9.64399, 9.92821, 10.26, 10.5123, 13.4438, 15.4855, 17.1901, 17.6309, 17.9721, 18.5479, 19.4626, 

2.50255e-07, 1.65943e-06, 5.67547e-06, 1.59174e-05, 2.02972e-05, 2.11527e-05, 2.68587e-05, 2.78893e-05, 3.37712e-05, 5.42434e-05, 8.40704e-05, 8.76975e-05, 0.000100837, 0.000170632, 0.000756207, 0.000845947, 0.00110832, 1.9282, 7.82503e-05, 0.541438, 0.00493686, 0.442253, 0.996791, 0.997055, 0.99718, 0.998854, 1.00026, 1.00121, 1.00361, 1.00981, 1.01313, 1.02202, 1.08104, 1.09836, 1.28569, 1.17292, 1.35356, 11.2528, 1.02792, 1.06288, 0.000172871, 0.00225698, 0.00625464, 0.00894088, 0.0162791, 0.0166634, 0.030259, 0.0314869, 0.0435541, 0.0606421, 0.0740777, 0.0874671, 0.104896, 0.118136, 0.261638, 0.630888, 0.472477, 7.56038, 11.5243, 0.71706, 6.7626e-05, 0.000212879, 0.001075, 0.00163129, 0.00194731, 0.0036617, 0.00711733, 0.00744829, 0.0152252, 0.0219532, 0.0282876, 0.0302402, 0.0394704, 0.0428084, 0.08222, 0.155914, 21.4849, 27.2694, 0.331239, 50.5267, 0.995385, 0.996479, 1.1062, 1.7445, 0.70461, 1.2776, 1.58961, 2.82411, 3.92773, 5.11092, 6.24179, 6.72318, 6.77779, 9.38495, 9.64399, 9.80665, 9.92821, 10.26, 10.5123, 12.577, 

