Iterations: 50
Function Evaluations Limit: 150000
Population: 50

Prides Length: 4

Percent Nomads: 0.2
Percent Roaming: 0.2
Percent Sex: 0.8

Mating Rate: 0.3
Mutation Probability: 0.2
Immigration Rate: 0.4

Dimensions: 1
N-Dimension Space: -5:5

Fitness Iterations:
4.71587e-07
13.2129, 18.2344, 21.6472, 9.18859, 8.73461, 9.33995, 9.18237, 0.137504, 9.5491, 24.5925, 6.75836, 5.71792, 5.49294, 9.95793, 5.57187, 16.2423, 0.286147, 0.412708, 17.8178, 5.47507, 20.1103, 0.207208, 20.2338, 23.4574, 23.563, 0.052408, 11.6719, 6.49838, 4.71587e-07, 2.21069, 12.9823, 2.35489, 0.156951, 0.505104, 0.638391, 7.58007, 3.03227, 15.1611, 4.25709, 6.24308, 0.954604, 17.7175, 2.16065, 12.917, 22.6124, 14.9685, 5.83646, 0.99162, 0.00785479, 18.4869, 

0.00011355, 0.0460853, 1.18047, 8.73461, 9.5491, 24.5925, 7.64022, 0.137504, 3.80182, 0.412708, 0.840519, 1.46024, 5.49294, 9.95793, 16.2423, 0.286147, 0.900867, 0.0771748, 1.91614, 0.233509, 0.00274583, 0.462305, 23.4574, 11.1008, 4.71587e-07, 2.21069, 1.42917, 0.334934, 0.00886674, 0.415931, 0.10172, 1.14506, 0.156951, 0.0267103, 0.354468, 15.1611, 4.27567, 0.00785479, 0.536413, 0.505104, 2.16065, 2.13829, 0.207208, 0.99162, 0.954604, 0.85126, 2.10966, 2.35489, 4.25709, 5.57187, 

0.00011355, 0.00968109, 1.18047, 2.43583, 7.64022, 0.819348, 0.241593, 0.286147, 0.00886674, 2.15505, 0.00361019, 0.274804, 6.49111, 0.900867, 0.233509, 4.72944, 8.86484, 0.0305697, 0.00333082, 1.42917, 0.00274583, 0.035408, 11.6553, 0.0280503, 0.415931, 5.01063, 0.0542914, 0.0771748, 0.505104, 0.0267103, 0.10172, 0.0918248, 0.156951, 4.27567, 0.00785479, 9.83968e-05, 0.0442565, 0.354468, 1.14577, 4.71587e-07, 0.207208, 0.108379, 0.146172, 0.0936503, 0.0272866, 0.281495, 0.365935, 0.473374, 2.21069, 4.25709, 

0.00011355, 0.00968109, 0.197868, 0.286147, 0.00886674, 2.15505, 0.0150109, 0.122187, 4.71587e-07, 0.595347, 0.00361019, 0.000490294, 0.900867, 0.233509, 8.86484, 0.0305697, 0.00333082, 0.505104, 0.00733759, 0.0120737, 0.00274583, 0.00532731, 0.0280503, 0.028807, 0.0771748, 0.0267103, 0.457183, 0.415931, 0.354468, 0.0417847, 0.0177607, 0.0272866, 0.156951, 9.83968e-05, 0.0442565, 1.14577, 0.0206794, 0.00785479, 0.0549013, 0.253283, 0.108379, 0.146172, 0.0936503, 0.0713298, 0.0101164, 0.0297594, 0.168581, 0.0885765, 0.819348, 0.840104, 

0.0001005, 5.07813e-05, 0.00886674, 1.28898, 0.0150109, 0.595347, 20.6981, 0.00333082, 0.140425, 0.0280503, 0.00361019, 0.000285407, 0.900867, 0.00643287, 0.00227347, 0.505104, 0.00733759, 0.00785479, 0.00711036, 0.0206794, 0.000596985, 0.002688, 0.0771748, 0.0267103, 0.457183, 0.0417847, 0.972539, 0.0797377, 0.000572595, 4.71587e-07, 0.00476411, 0.0054514, 9.83968e-05, 0.0442565, 0.026931, 0.253283, 4.94201e-05, 0.122187, 0.0146086, 0.0120737, 0.0234826, 0.0101164, 0.0297594, 0.0640599, 0.00828456, 0.0283042, 0.00274583, 0.0272866, 0.197868, 0.286147, 

