Iterations: 50
Function Evaluations Limit: 150000
Population: 50

Prides Length: 4

Percent Nomads: 0.2
Percent Roaming: 0.2
Percent Sex: 0.8

Mating Rate: 0.3
Mutation Probability: 0.2
Immigration Rate: 0.4

Dimensions: 1
N-Dimension Space: -6.28319:6.28319

Fitness Iterations:
1.2238
19.9778, 17.83, 46.7801, 1.66989, 9.19714, 38.3998, 20.1839, 30.5018, 16.8441, 29.0051, 11.1043, 13.1457, 19.6849, 13.7258, 11.8606, 4.08052, 8.9743, 6.16071, 1.2238, 25.7901, 25.7998, 20.2512, 19.0841, 10.3497, 42.3435, 18.55, 48.582, 12.7907, 37.0334, 31.9468, 14.75, 12.512, 45.0433, 33.4049, 19.117, 25.1146, 26.0183, 9.56712, 22.1838, 14.6881, 23.5447, 19.8718, 30.168, 49.1615, 24.9117, 31.3091, 31.9547, 1.8004, 24.0914, 7.57966, 

1.8004, 1.55567, 4.41946, 0.328838, 18.1677, 13.2225, 6.01954, 6.16071, 14.0034, 1.01337, 10.0816, 6.43283, 13.7258, 4.08052, 1.2238, 26.1391, 6.50446, 11.8606, 7.57966, 5.3843, 4.02311, 10.3314, 10.3497, 13.6472, 9.07674, 37.0334, 31.9468, 9.28659, 12.0767, 15.6454, 5.01866, 6.742, 45.0433, 26.0183, 22.1838, 14.6881, 20.5882, 9.19714, 1.75208, 8.9743, 9.26322, 18.7134, 9.20447, 13.9815, 13.1457, 18.9245, 10.456, 12.0394, 16.2758, 17.7081, 

1.55567, 1.00019, 4.41946, 0.328838, 11.4882, 1.01337, 13.5624, 9.28659, 6.01954, 12.1856, 9.20447, 6.43283, 4.08052, 6.50446, 5.3843, 25.0247, 25.4401, 7.57966, 4.8858, 13.7258, 1.8004, 4.00484, 10.3497, 13.6472, 9.07674, 24.6022, 9.70608, 1.2238, 6.86265, 1.75291, 5.01866, 6.10753, 10.1331, 20.5882, 5.13821, 0.94458, 11.7682, 7.17755, 9.66366, 8.9743, 9.26322, 10.0816, 10.456, 11.5706, 4.02311, 9.70029, 11.9124, 6.742, 14.0034, 15.6454, 

0.13779, 1.00019, 0.328838, 5.19885, 1.01337, 6.01954, 4.59936, 9.08752, 4.41946, 7.17755, 6.10753, 6.13856, 4.08052, 6.50446, 7.57966, 4.8858, 10.8677, 1.63239, 4.84393, 3.98273, 1.8004, 4.00484, 10.3497, 10.5243, 6.90961, 1.2238, 8.37399, 0.327927, 10.1467, 9.28659, 4.02311, 1.9384, 10.1331, 5.13821, 0.94458, 9.66366, 8.9743, 1.31284, 5.3843, 4.74041, 9.26322, 9.20447, 5.01866, 6.742, 8.0634, 9.48691, 1.55567, 6.20601, 11.3571, 11.5209, 

0.13779, 1.00019, 5.19885, 1.01337, 2.05966, 7.17755, 13.2823, 4.84393, 4.41946, 3.98273, 1.55567, 4.0009, 7.57966, 4.8858, 1.63239, 0.436708, 20.2435, 6.50446, 6.90961, 5.02584, 1.8004, 4.00484, 4.37609, 1.2238, 8.37399, 0.327927, 15.7461, 4.59936, 2.99166, 1.31284, 0.000837044, 1.06407, 10.1331, 5.13821, 0.94458, 8.9743, 4.74041, 4.08052, 0.328838, 1.91337, 5.01866, 6.1718, 7.14199, 2.82564, 6.20601, 5.7353, 7.48301, 4.86772, 7.98335, 9.08752, 

