Iterations: 50
Function Evaluations Limit: 150000
Population: 50

Prides Length: 4

Percent Nomads: 0.2
Percent Roaming: 0.2
Percent Sex: 0.8

Mating Rate: 0.3
Mutation Probability: 0.2
Immigration Rate: 0.4

Dimensions: 1
N-Dimension Space: -5:5

Fitness Iterations:
0.00651352
23.8153, 0.451716, 12.6156, 17.9937, 10.9151, 11.7347, 6.52541, 6.19498, 15.9825, 10.3196, 3.2066, 0.00651352, 16.2028, 20.0974, 5.85822, 22.8284, 7.30553, 12.3614, 7.8134, 19.8194, 23.7524, 18.3713, 6.10613, 10.5202, 14.7621, 12.5242, 16.4937, 20.215, 21.038, 2.36035, 17.213, 6.89127, 21.5303, 0.104752, 0.534319, 14.6234, 0.181096, 7.85236, 0.00940014, 22.4803, 0.152984, 9.05885, 8.76343, 14.7218, 10.3594, 4.38992, 10.1052, 14.7242, 3.93811, 14.9585, 

0.152984, 0.451716, 17.9937, 10.9151, 6.52541, 6.19498, 15.9825, 0.705437, 7.04333, 0.850682, 0.00651352, 0.0887684, 16.2028, 15.0419, 0.749486, 12.3614, 0.0912583, 3.93811, 5.85822, 2.6861, 0.167481, 2.50638, 0.770573, 9.06907, 3.60259, 9.83861, 5.16069, 0.104752, 0.13536, 5.78035, 3.87882, 1.07469, 10.7612, 0.534319, 9.69845, 0.181096, 2.47811, 0.391612, 0.00940014, 1.92101, 4.38992, 3.69043, 2.01348, 6.37543, 3.2066, 0.170861, 0.495817, 6.774, 7.8134, 10.0205, 

0.0383029, 0.391061, 0.262956, 6.19498, 15.9825, 7.04333, 0.658267, 0.0113039, 0.104752, 0.245688, 0.00651352, 0.0887684, 16.2028, 15.0419, 12.3614, 0.0912583, 2.36371, 0.749486, 0.632957, 0.00940014, 0.0172101, 0.170861, 3.42628, 0.687863, 5.16069, 0.791627, 1.20598, 0.770573, 0.018618, 0.36451, 0.495817, 0.12518, 6.03669, 0.534319, 0.181096, 0.410158, 4.3016, 0.888157, 0.333068, 0.391612, 0.519431, 0.179316, 0.152984, 0.451716, 0.888383, 0.000402213, 0.167481, 0.567039, 1.92101, 2.47811, 

0.0383029, 0.105603, 0.262956, 0.658267, 0.104752, 1.85799, 0.896288, 0.0912583, 0.672498, 0.0113039, 0.000402213, 0.0417217, 0.702713, 2.943, 2.56418, 0.749486, 0.00147737, 0.00940014, 0.03796, 0.36451, 0.0172101, 0.152984, 3.42628, 3.2282, 1.20598, 0.770573, 0.112098, 0.534319, 0.422399, 0.181096, 0.105822, 0.201012, 0.120812, 4.3016, 0.391612, 4.24609, 0.428827, 0.163779, 0.018618, 0.11125, 0.179316, 0.170861, 0.451716, 0.0887684, 0.00651352, 0.167481, 0.391061, 0.133122, 0.687863, 0.791627, 

0.00651352, 0.0417217, 0.262956, 0.658267, 1.85799, 0.0113039, 3.11627, 0.722298, 0.0926774, 0.672498, 0.000402213, 0.0218003, 0.702713, 2.56418, 0.00147737, 0.03796, 0.0156404, 0.104752, 0.749486, 0.0912583, 0.0172101, 0.152984, 1.20598, 0.770573, 0.112098, 0.534319, 0.181096, 0.428827, 0.00468568, 0.422399, 0.105822, 0.108656, 0.120812, 0.391612, 0.163779, 0.018618, 0.11125, 0.108382, 0.687863, 0.00940014, 0.179316, 0.170861, 0.0887684, 0.0383029, 0.167481, 0.133122, 0.105603, 0.201012, 0.791627, 0.857978, 

0.00651352, 0.0383029, 0.262956, 0.722298, 0.0926774, 0.672498, 2.10065, 0.120812, 0.112098, 0.00217942, 0.000402213, 0.0218003, 0.702713, 1.72637, 0.00147737, 0.191199, 0.103052, 0.0156404, 0.03796, 0.428827, 0.0172101, 0.00289309, 1.20598, 0.534319, 0.181096, 0.422399, 0.563308, 0.00468568, 0.0912583, 0.018618, 0.0787006, 0.108656, 0.391612, 0.163779, 0.107411, 0.108382, 0.196344, 0.00940014, 0.00800372, 0.0113039, 0.170861, 0.105822, 0.0417217, 0.167481, 0.133122, 0.105603, 0.0887684, 0.126915, 0.600296, 0.658267, 

0.00651352, 0.0194203, 0.00176783, 2.10065, 0.112098, 1.66939, 2.21345, 0.00468568, 0.026281, 0.0435838, 0.000402213, 0.0218003, 1.72637, 0.191199, 0.0333934, 0.830401, 0.130566, 0.00147737, 0.00940014, 0.00663566, 0.0172101, 0.00289309, 0.534319, 0.422399, 0.563308, 0.577078, 0.292741, 0.0156404, 0.018618, 0.0926774, 0.0120413, 0.0128584, 0.0102299, 0.00800372, 0.0113039, 0.00158063, 0.00734136, 0.03796, 0.00217942, 0.0912583, 0.105822, 0.0417217, 0.133122, 0.105603, 0.0887684, 0.126915, 0.0787006, 0.0383029, 0.107411, 0.120812, 

